cid,text,author,time,votes,replies,sentiment,pos_score,neg_score,neu_score,compound_score,text_length
Ugy0hFTlC9teGy5yaql4AaABAg,"Ternyata impianya timony itu mulia sekali.  .memperbaiki pendidikan , dan sekarang udah bangun sekolah  gratis . Gila . Anak muda cerdas banget..",@AdnyanaSaja,22 jam yang lalu,341,16.0,Positif,0.062,0.0,0.938,0.0516,145
UgxkNgOOxorS5mXo88l4AaABAg,"Umur saya 28 tahun, tinggal didesa Aku bukan saudara dia, aku bukan keluarga dia, aku nggak kenal dia, Tapi entah kenapa aku melihatnya bangga,senang, bahagia,
ada anak muda umur 24 tahun punya uang triliunan dan punya mimpi untuk membangun sekolah atau pendidikan di Indonesia. ❤❤",@MulianorRahman-gh5zd,16 jam yang lalu,68,5.0,Netral,0.0,0.0,1.0,0.0,281
UgzJGkEQvBFIG2QHldV4AaABAg,"Keluar Kata kata 
""Sekolahnya gratis om"" 
Tiba2 langsung berlinang air mata ini.
Keren broo timoty, 
Salam dari pemuda desa laskar pelangi",@AndhaGZA8899,22 jam yang lalu,71,3.0,Positif,0.057,0.0,0.943,0.0516,138
Ugy_5mSsdVP1C6JHdfp4AaABAg,"Sya sbgai orang tua begitu bangga lihat perjuangan timoty walaupun dr keluarga yg tdk lengkap tpi justru punya semangat berjuang demi ibu n saudarany, bahkan yg lebih sya bangga ketika mendengar timoty membuat sekolah yg lengkap smua keperluan sekolah hingga lingkup yg memadai n ada lengkap tempat WC utk anak sekolah yg d bangun utk daerah yg jauh.seperti d NTT , Papua n daerah lainny ,semoga masih bnyak ada anak muda mudi yg mau jadi guru yg baik yg punya rasa cinta kasih syang pda diri sendiri seperti seorang suster yg penuh kasih utk sesama manusia ,selamat berjuang terus nak timoty semoga tdk pantang menyerah n tdk berputus asa, sya yakin Tuhan Yang Maha Kuasa yg melihat perjuangan timoty akan berhasil cita2 mu amin",@evijantidarmawi8452,1 hari yang lalu,111,3.0,Netral,0.0,0.0,1.0,0.0,729
UgzUh4aEqg4Qn-Sw8AN4AaABAg,"anjirr gue ikutin kata Timothy Ronald 3th yg lalu , gue punya anak 2  ngontrak di rumah kecil gak mau kpr rumah  gue pakai motor beat tahun  rendah gue hilangin semua gengsi gue  ,gak gue sentuh kridit dan segala jenis hutang  , save uang buat bangun rumah , 3 th aja gue udah bisah belih tanah dan sedang bangun rumah alhamdulilah udah jadi 80% rumah gue , termotivasi gue sumpah, ingat bro jangan sentuh kridit , tabung uang beli cash ,",@ridhoabdul-u4h,1 hari yang lalu (diedit),"4,9 rb",260.0,Positif,0.043,0.0,0.957,0.4939,438
UgwlngRuaGJdmAY1baR4AaABAg,"Sya dari NTT Sangat bangga di negara ini masih ada anak muda yg seperti bang timoty dia sangat peduli terhadap pendidikan di NTT,sya yakin ntt kelak akan bangkit dgn manusia yg berkualitas untuk membangun daerahnya.
Karena benar kata scorates akar dari semua masalah adalah kebodohan.
Salam akal sehat semua nya 🇮🇩",@MitangParera,7 jam yang lalu,5,,Netral,0.0,0.0,1.0,0.0,314
Ugx8g1sYZJCA-RaXuVt4AaABAg,"Dari pembicaraan ini saya tidak melihat sebuah perbedaan ilmu yg sangat jauh seperti usia nya, saya sangat menikmati dan belajar banyak dari pembicaraan ini",@jufri1M,20 jam yang lalu (diedit),20,,Netral,0.0,0.0,1.0,0.0,156
UgwSZaL9zLwIIkC0RVZ4AaABAg,"Bayangin anak muda sukses mana yang bakar uang dari hasil kerja kerasnya hanya untuk memperbaiki pendidikan di Indonesia selain bro Timothy ini , nggak cuma itu dia pengen buat orang orang sadar , melek ekonomi, dan sadar akan realita hidup saat ini . Ini bukan sekedar hebat tapi jenius yang hebat 👏🏻",@JihanaAnait,22 jam yang lalu,70,2.0,Netral,0.0,0.0,1.0,0.0,301
UgwqUXI9KyEAAYXAhBt4AaABAg,"Timothy Ronald , cita2 nya hebat dan sudah terealisasi , mencerdaskan anak2 , itu luar biasa , semoga rejeki dan mencerdaskan anak bangsa berguna sekali , aku diusia ini kagum dengan anak muda dengan kebijaksanaan",@tantykurniaty9575,21 jam yang lalu,176,6.0,Netral,0.0,0.0,1.0,0.0,213
UgzGfycsPw8KoQ6Pt5t4AaABAg,"Selalu trending, sehat selalu om ded dan mr Timothy 🎉 ꍏꀘꍏꀸꌗ꒒ꂦ꓄",@syafiraananda7877,9 jam yang lalu,"2,3 rb",2.0,Netral,0.0,0.0,1.0,0.0,62
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT5w8ivQjX,Ncek,@Chreist,1 hari yang lalu,92,,Netral,0.0,0.0,1.0,0.0,4
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT6180VC6a,"Bro tim makasih atas edukasinya. Saya dokter spesialis saja merasakan himpitan inflasi. You help to open our eyes. 

Next tolong undang ustadz Devin Halim di podcast bro, beliau pakar Syariah crypto dan praktisi juga, biar yang takut BTC karena aspek syariah bs belajar",@luqmanhidayatullah4481,1 hari yang lalu,234,,Positif,0.06,0.0,0.94,0.4019,269
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT61K2uCPd,Semngat terus bg tim jangan bosen MengEdukasi kita kita ini,@OkeYGamingg,1 hari yang lalu,34,,Netral,0.0,0.0,1.0,0.0,59
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT6bdlcyXA,bg kenapa pp hitam,@rafliyaputra5987,1 hari yang lalu,20,,Netral,0.0,0.0,1.0,0.0,18
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT6hwXAHVm,Mantap,@maximinioneves7522,1 hari yang lalu,4,,Netral,0.0,0.0,1.0,0.0,6
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT6rHR-rIM,Yooo wassup ketua 🥶,@iseng2407,1 hari yang lalu,15,,Netral,0.0,0.0,1.0,0.0,19
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT71O_ItCI,Ya,@iyyd_fld,1 hari yang lalu,9,,Netral,0.0,0.0,1.0,0.0,2
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT71p4_SCR,"Insight nya luar biasa ko, ❤",@Chris1724.,1 hari yang lalu,6,,Netral,0.0,0.0,1.0,0.0,28
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT7lX9Wo3u,waduuuhhh...anda terlalu memunculkan sisi anda yang sebenarnya bro...,@kingjolips3484,1 hari yang lalu,8,,Netral,0.0,0.0,1.0,0.0,69
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT7mACqfEc,"Kamu hebat bro,mugi mugi bisa jadi Wali Ghoni.",@hfgyrtgocegv,1 hari yang lalu,7,,Netral,0.0,0.0,1.0,0.0,46
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT7q_eZMp9,Jangan berhenti mengedukasi orang Indonesia bro❤,@suryaramadhan6094,1 hari yang lalu,10,,Netral,0.0,0.0,1.0,0.0,48
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT7uepe489,"Timothy, I'm so proud of you.. kamu jadi lebih baik hari demi hari 😊♥️",@AnastasiaXavelya,1 hari yang lalu,7,,Positif,0.235,0.0,0.765,0.6113,70
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT7zHggJs7,Mantapp... Semoga yg terbaik untuk menuju Indonesia Emas... Mmg beda cara penyampaian dari 2 tahun lalu kesekarang.. Lebih wise dalam menyikapi masalah... 👍👍👍,@specialserviceMedan,1 hari yang lalu,9,,Positif,0.129,0.0,0.871,0.4767,158
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT8KSiQvai,Guruku🔥🔥🔥🔥🔥,@Amamm-y9y,1 hari yang lalu,5,,Netral,0.0,0.0,1.0,0.0,11
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT8Y5lQ8Fi,Siap koh siap koh,@anantastalk7742,1 hari yang lalu,2,,Netral,0.0,0.0,1.0,0.0,17
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT8asK6E0r,Mantap koh mantap koh,@anantastalk7742,1 hari yang lalu,3,,Netral,0.0,0.0,1.0,0.0,21
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT8beaLt80,"Gila, gw baru sadar sekarang, pemikiran lu bener-bener di luar nalar",@AlipDotPY,1 hari yang lalu,7,,Netral,0.0,0.0,1.0,0.0,68
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT8gU6bSQ0,"Gila, gw baru sadar sekarang bang, pemikiran lu bener-bener diluar nalar, bener-bener hebat dan superior",@AlipDotPY,1 hari yang lalu,9,,Positif,0.2,0.0,0.8,0.5423,104
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT91XrVxiU,Mintalah terus kebijakan yang banyak dari Tuhan seperti raja Salomo 😊,@autokontak8729,1 hari yang lalu,2,,Netral,0.0,0.0,1.0,0.0,69
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT9GpQffbX,Sama-sama 😂,@KOMENBEBAS-s8u,1 hari yang lalu,0,,Netral,0.0,0.0,1.0,0.0,11
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT9nPJgOc2,Semangat bg,@nzul673,1 hari yang lalu,0,,Netral,0.0,0.0,1.0,0.0,11
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJT9nr3DsQu,"Mas Tim thanks jg utk kamu, sudah menginspirasi sejak tahun lalu",@pejuangkripto4320,1 hari yang lalu,1,,Positif,0.225,0.0,0.775,0.4404,64
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTABkhr6MX,Mantaaapp broo Tim kau panutan ku..,@toffiqjeffer5119,1 hari yang lalu,0,,Netral,0.0,0.0,1.0,0.0,35
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTAjGcos7u,"ambisinya keren bro, terima kasih, semangat terus lakukan yang terbaik dan semoga selalu dimudahkan agar segera terwujud, GBU",@vikarekber,1 hari yang lalu,1,,Netral,0.0,0.0,1.0,0.0,125
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTB24jf5nX,Panutan,@rizkiyonadha9480,1 hari yang lalu,3,,Netral,0.0,0.0,1.0,0.0,7
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTBEcR0r-_,"gas bg, info gaji 2 juta perbulan harus punya tabungan brapa bos timoty? dan saya mau punya skill untuk  nambah penghasilan tapi bingung, saran dong boss🙏 umur saya 18 tahun bos timoty",@scomingsoon,1 hari yang lalu,2,,Netral,0.0,0.0,1.0,0.0,184
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTBNxBSOFn,🙂Halo bro Timothy,@WibuTeknik,1 hari yang lalu,1,,Netral,0.0,0.0,1.0,0.0,17
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTBeYRBDLO,Makin gede SM pemain tiktok 😢 gmn cara nyadarin org org,@asepjaya1830,1 hari yang lalu,0,,Netral,0.0,0.0,1.0,0.0,55
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTBtyKZgn9,Oo,@BStarBayu,1 hari yang lalu,0,,Netral,0.0,0.0,1.0,0.0,2
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTC-chfGlq,Daging semua obrolan kali ini.,@iiihhh7755,1 hari yang lalu,0,,Netral,0.0,0.0,1.0,0.0,30
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTC55B44Fi,"Seneng kalo simak pembahasan Lo sama Om Ded.

Jadi gaperlu pake nada tinggi + bahasa kasar, karena kawan bicaranya sama-sama cerdas. Jadi ga perlu banyak jelasin panjang lebar dari bawah, udah yg ngalirrr pembahasannya konsisten naik dan bisa di break down, terstruktur dan daging semua isinya.

Pembahasan Timothy dan om Ded ini emang cuma untuk kalangan IQ tinggi + SQ + EQ = jadilah bijaksana. Thank you Tim, selalu dapet energi baik dari ilmu yg Lo bagi. Thank you udah jadi berkat buat sesama",@mayangtrii,1 hari yang lalu,2,,Positif,0.06,0.0,0.94,0.6124,497
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTCBGXPcW9,Thanks bro tim 🎉,@anandarudwiputra2826,1 hari yang lalu,0,,Positif,0.592,0.0,0.408,0.4404,16
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTCas71u1D,"kata abang pada waktu ke 39:33:34 masalah pada gurunya kan ya? saran aja daripada cari guru yang ngerti/bener lebih baik ciptain buat dia menjadi guru aja gitu dari orang orang yang pernah ngalamin putus sekolah karena kurang mampu atau tekanan dari pihak orang tua atau yang pernah mengikuti volunteer yang tanpa dibayar karena kalo mencari yang orang  sudah jadi guru  itu susah karena ada beberapa yang menjadi guru karena faktor ingin menjadi pns lah, gaji selalu naik,membanggakan orang tua bukan real ingin bener bener mengedukasi anak anak
saran aja sih😅🙏",@gedesuwantara5523,1 hari yang lalu,3,,Netral,0.0,0.0,1.0,0.0,562
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTCilm0sr9,Jualan kelas masi lancar nggak ncek duitnya?,@prastyawanWan,1 hari yang lalu,0,,Netral,0.0,0.0,1.0,0.0,44
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTDNAC4bi3,Hadir,@RChannelst,1 hari yang lalu,0,,Netral,0.0,0.0,1.0,0.0,5
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTDNphExL9,Menyala 🔥🔥,@famandfunn,1 hari yang lalu,1,,Netral,0.0,0.0,1.0,0.0,10
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTDWTqtcqN,softspoken sekali ncek ini☺️,@anwr8,1 hari yang lalu,1,,Netral,0.0,0.0,1.0,0.0,28
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTDzkYy2l2,Alhamdulillah terima ilmunya nya bang🙏,@didolodianto9401,1 hari yang lalu,1,,Netral,0.0,0.0,1.0,0.0,38
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTEMZeoBw_,Masyaallah trimakasih koh....,@listyaningsihatmojo5211,1 hari yang lalu,1,,Netral,0.0,0.0,1.0,0.0,29
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTEnNHYr7_,oh lighting nya mesti di rubah 😂,@ryryory3929,1 hari yang lalu,0,,Netral,0.0,0.0,1.0,0.0,32
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTEyidJz9D,nge fans bgttt sama bro tim plisss,@jihanalifinniya7876,1 hari yang lalu,0,,Netral,0.0,0.0,1.0,0.0,34
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTF5zasRoO,Mau bijak itu harus banyak gagal dulu 😂😂😂,@marbellinecollection7386,1 hari yang lalu,0,,Netral,0.0,0.0,1.0,0.0,41
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTF7G_74cl,Kelas jinpachi timorex,@ibnuinu,1 hari yang lalu,1,,Netral,0.0,0.0,1.0,0.0,22
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTFAd5nm8n,Awal gua gua gak terlalu suka sama omongan lu bang tapi makin gua denger omongan lu makin gua tertampar dan makin gua respect sama lu bang . Gua bakal banyak ikutin saran2 buat kehidupan gua kedepannya bang,@imamwahyudi7571,1 hari yang lalu,2,,Positif,0.081,0.0,0.919,0.4767,206
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTFImkvj8h,"semangat tim, tulus bngt liat dari matanya , sehat trs tim  bersama bro kaka🥲🥲",@skygaming698,1 hari yang lalu,1,,Netral,0.0,0.0,1.0,0.0,78
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTFIqwVVhC,"Yg bikin gue terbukakan dr video ini adalah; ada level dimana yg dibandingkan itu udah bukan baik dan buruk lagi. Tp udah advance level membandingkan baik dan terbaik to decide. What a mindset called kebijaksanaan. Thanks for sharing bro.Jbu, peace ❤",@axwelll777,1 hari yang lalu,2,,Positif,0.204,0.0,0.796,0.8481,250
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTFKt4flVO,I am so proud of you😊😊,@daryati53,1 hari yang lalu,1,,Positif,0.459,0.0,0.541,0.5256,22
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTFOdrmx3r,Nice topic 🤯,@ilhamfajar7649,1 hari yang lalu,0,,Positif,0.737,0.0,0.263,0.4215,12
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTFW0O3-1k,Hati2 bang cepu diaa,@hitodmkbang8219,1 hari yang lalu,0,,Netral,0.0,0.0,1.0,0.0,20
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTFaHcsnqb,"Semoga banyak generasi muda spt kamu tim , d negeri ini..",@andrianlaksana9354,1 hari yang lalu,2,,Netral,0.0,0.0,1.0,0.0,57
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTGM0CITIE,Kak coba kolaborasi sama kak jeromepolin.,@ahmadmahfud27,1 hari yang lalu,1,,Netral,0.0,0.0,1.0,0.0,41
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTGTCvRuL9,ty jga bg,@rezasetiawann4,1 hari yang lalu,0,,Positif,0.565,0.0,0.435,0.3818,9
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTGYYrPScI,"saya salah fokus sama yang di belakang om ded ,, itu ps5  atau ps3 fat  warna putih ya ....",@cosmomemory556,1 hari yang lalu,0,,Netral,0.0,0.0,1.0,0.0,91
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTGnf4WG8W,ikut!....,@MisterNdutOfficial,1 hari yang lalu,0,,Netral,0.0,0.0,1.0,0.0,9
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTH3OtLnyr,keren ncekk,@deniramadan9084,1 hari yang lalu,0,,Netral,0.0,0.0,1.0,0.0,11
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTH63ztgas,"Thank you juga bro tim, so proud of you",@wydofficial7499,1 hari yang lalu,0,,Positif,0.481,0.0,0.519,0.7573,39
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTHGxi0Mhl,"Terima Kasih banyak om ded, Terima kasih banyak ko Timoty🙏🙏🙏🙏",@rezakusnady1322,1 hari yang lalu,0,,Netral,0.0,0.0,1.0,0.0,61
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTHdPfZFFM,Halah nyocot,@Juixee-m7l,1 hari yang lalu,0,,Netral,0.0,0.0,1.0,0.0,12
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTI3zjtcbE,"Miskin itu bodoh, kaya itu pinter, ???? Argumen yang paling bodoh di buat oleh manusia😂😂, Tidak Semua orang miskin itu bodoh, Karena ada orang-orang yang pintar Dan bisa kaya, tapi memilih hidup miskin, Contoh, Nabi muhammad, Dan para sahabat seperti, Abu bakar, Umar, dan ali, Mereka sangat mampu kaya,bro tapi mereka memilih untuk hidup dalam kemiskinan dan kesederhanaan, Orang kaya yang bodoh juga ada bro, Qorun, Namrud, Firaun, Yang sombong mengira bahwa Harta dan kekuasaan yang ada ada pada dirinya adalah karena kehebatan dan kepintaran nya, apa yang terjadi pada mereka? Namrud mati hina hanya dengan sekor lalat, Qorun mati terkubur bersama harta nya, Firaun mati tenggelam, Dan Kamu berkata ""Bahwa kamu kaya karena kamu pintar"" ???? Apakah kami tidak melihat ???? Apakah kamu tidak mendengar???? Apakah kamu tidak berfikir????",@AbiZahra-x9z,1 hari yang lalu,2,,Netral,0.0,0.0,1.0,0.0,838
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTI5SiASpu,Ncek thanks ya 🥰,@rodapetualangindonesia,1 hari yang lalu,0,,Positif,0.592,0.0,0.408,0.4404,16
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTIBwOfPwA,❤ your the best,@syamsulhidayat-qo8yx,1 hari yang lalu,0,,Positif,0.677,0.0,0.323,0.6369,15
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTIaaF1I9u,God bless you bro😊,@tresnantoyugo,1 hari yang lalu,0,,Positif,0.71,0.0,0.29,0.5994,18
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTIji3uN--,Lanjutkan bro 💪💪💪,@AtirtoPrawiro,1 hari yang lalu,1,,Netral,0.0,0.0,1.0,0.0,17
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTIm6Dn1DN,Beli rumah cash 🔥,@oneplusoneplusoneequalthre3743,1 hari yang lalu,0,,Netral,0.0,0.0,1.0,0.0,17
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTIntugvsB,Pp nya kok hitam bro tim?,@goodgamer7794,1 hari yang lalu (diedit),1,,Netral,0.0,0.0,1.0,0.0,25
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTJGIRO8xV,"bro, aku punya saran untuk masalah guru di sekolahmu di NTT. bagaimana klw kamu nyari fresh graduated lulusan pendidikan di universitas ternama indonesia yang memang berasal dari daerah NTT. dengan cara ini kamu bisa dapet guru yang masih related dengan sistem pendidikan terbaru di Indonesia dan kemungkinan besar willing to teach in your school, karena itu daerah asal mereka.",@rnkp_des,1 hari yang lalu,2,,Positif,0.038,0.0,0.962,0.3182,378
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTJJNav-2v,Mantap bang Timothy.,@budakrantao9858,1 hari yang lalu,0,,Netral,0.0,0.0,1.0,0.0,20
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTJLM2byjv,"Ketikan lo kontradiksi sama karakter lo yg si paling Wikipedia, si paling hooh tenan & toxic",@maugwtampol3261,1 hari yang lalu,1,,Netral,0.0,0.0,1.0,0.0,92
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTJOE-r_eR,kelas ko Bro..,@bggodie,1 hari yang lalu,0,,Netral,0.0,0.0,1.0,0.0,14
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTJRmBfg85,harusnya sekolah itu perbanyak praktek sesuai dengan keahlian murid,@yudha_saputra,1 hari yang lalu,1,,Netral,0.0,0.0,1.0,0.0,67
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTJShFnAeE,Sama sama mot,@zidanpray8446,1 hari yang lalu,0,,Netral,0.0,0.0,1.0,0.0,13
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTJYWbgi4s,Kelas bro tim,@endruwsadikpratama,1 hari yang lalu,0,,Netral,0.0,0.0,1.0,0.0,13
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTJbTS9CWN,Siapp,@Lendra_yahoo,1 hari yang lalu,1,,Netral,0.0,0.0,1.0,0.0,5
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTJt9-xJ6x,COLD!!,@AnggiAndriyana,1 hari yang lalu,1,,Netral,0.0,0.0,1.0,0.0,6
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTJwpfj6xm,Siap ketua,@zaeynal3682,1 hari yang lalu,1,,Netral,0.0,0.0,1.0,0.0,10
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTKnyuD7iX,attitude elu aja kurang gimana bisa membantu generasi muda Indonesia tumbuh menjadi lebih bijak.??,@andreraditya5461,1 hari yang lalu,3,,Netral,0.0,0.0,1.0,0.0,98
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTL3OOSarT,Wauuuu,@pororo_gaming__818,1 hari yang lalu,1,,Netral,0.0,0.0,1.0,0.0,6
UgyRypoyncbWQyGjoX94AaABAg.AJSymyvw2HuAJTL8nWXIsO,Timothy Ronald Keren🔥🔥,@Sowhat-p9n,1 hari yang lalu,1,,Netral,0.0,0.0,1.0,0.0,22
